Product Code,Product Name,Sales,Quantity,Discount,Profit
0,"#10 Gummed Flap White Envelopes, 100/Box",24.78000068664554,6,0.0,11.39879965782165
1,#10 Self-Seal White Envelopes,99.810001373291,9,0.0,48.906899452209416
2,"#10 White Business Envelopes,4 1/8 x 9 1/2",438.7599983215334,28,0.0,206.21720123291018
3,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",139.8399982452392,16,0.0,65.72479915618894
4,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",91.6799988746643,12,0.0,44.9231986999512
5,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",62.9599990844727,4,0.0,28.3320007324219
6,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1873.440063476567,9,0.0,505.8283920288086
7,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",44.0999984741211,6,0.0,20.7269992828369
8,12 Colored Short Pencils,7.80000019073486,3,0.0,2.10599994659424
9,12-1/2 Diameter Round Wall Clock,319.680000305176,16,0.0,115.08480167388919
10,14-7/8 x 11 Blue Bar Computer Printout Paper,192.1600036621094,4,0.0,92.236801147461
11,2300 Heavy-Duty Transfer File Systems by Perma,124.900001525879,5,0.0,23.73099994659426
12,"24 Capacity Maxi Data Binder Racks, Pearl",1684.400054931646,8,0.0,421.10001373291004
13,24-Hour Round Wall Clock,279.7199974060063,14,0.0,120.27960205078128
14,3.6 Cubic Foot Counter Height Office Refrigerator,1473.09997558594,5,0.0,412.467987060547
15,36X48 HARDFLOOR CHAIRMAT,293.719993591309,14,0.0,20.560400485992467
16,"3D Systems Cube Printer, 2nd Generation, Magenta",14299.8896484375,11,0.0,3717.96997070313
17,3M Office Air Cleaner,259.80000305175804,10,0.0,90.9300003051758
18,3M Organizer Strips,16.2000007629395,3,0.0,7.77600002288818
19,3M Polarizing Light Filter Sleeves,149.2000007629395,8,0.0,68.6319999694824
20,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.679992675782,16,0.0,569.8371887207028
21,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,189.59999847412058,5,0.0,73.9440021514893
22,4009 Highlighters,8.03999996185303,6,0.0,2.73359990119934
23,4009 Highlighters by Sanford,155.2199993133546,39,0.0,51.22259950637816
24,50 Colored Long Pencils,121.9199981689452,12,0.0,31.69919991493229
25,"6"" Cubicle Wall Clock, Black",56.6300010681153,7,0.0,20.3867998123169
26,9-3/4 Diameter Round Wall Clock,399.9099941253668,29,0.0,167.9622011184693
27,"ACCOHIDE 3-Ring Binder, Blue, 1""",49.560001373291115,12,0.0,23.29319977760315
28,ACCOHIDE Binder by Acco,41.30000114440914,10,0.0,19.41100001335149
29,APC 7 Outlet Network SurgeArrest Surge Protector,1046.2400283813465,13,0.0,313.87199211120605
30,AT&T 1080 Corded phone,136.990005493164,1,0.0,36.9873008728027
31,AT&T 1080 Phone,821.940002441406,6,0.0,213.703994750977
32,AT&T 17929 Lendline Telephone,542.8800048828122,12,0.0,141.1487998962402
33,AT&T CL2909,21.9899997711182,1,0.0,10.5551996231079
34,AT&T CL82213,434.8500003814693,15,0.0,126.106499671936
35,AT&T CL83451 4-Handset Telephone,1441.9299621582081,7,0.0,418.158996582032
36,AT&T EL51110 DECT,377.970001220703,3,0.0,109.611000061035
37,AT&T SB67148 SynJ,263.959991455078,4,0.0,71.2692031860352
38,AT&T TR1909W,1133.910003662109,9,0.0,294.817001342774
39,Aastra 57i VoIP phone,2100.929977416998,13,0.0,546.2415924072262
40,Acco 3-Hole Punch,91.97999954223633,21,0.0,44.150400638580315
41,"Acco 3-Hole Punch, Clear",1942.4199581146243,72,0.0,286.32999920845054
42,"Acco 3-Hole Punch, Durable",2287.1800460815452,81,0.0,668.3600059151652
43,"Acco 3-Hole Punch, Economy",2883.610029220584,114,0.0,448.44999718666065
44,"Acco 3-Hole Punch, Recycled",2265.679977416992,82,0.0,339.51000213623036
45,Acco 6 Outlet Guardian Basic Surge Suppressor,33.2799987792969,4,0.0,9.31840038299561
46,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,219.83999633789068,12,0.0,63.7535991668701
47,Acco 6 Outlet Guardian Premium Surge Suppressor,262.080005645752,18,0.0,70.7616004943848
48,Acco 6 Outlet Guardian Standard Surge Suppressor,96.7200012207032,8,0.0,29.015999317169168
49,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",2310.019989013674,19,0.0,693.005981445313
